"","dual","mean_bmi","smoke_rate","hispanic","pct_blk","medhouseholdincome","medianhousevalue","poverty","education","popdensity","pct_owner_occ","pm25","no2","ozone","ox"
"dual",1,0.0549585294631519,-0.0432786441661757,0.134245075721653,0.128941481841064,-0.166705230622019,-0.0687712444852351,0.210868572410474,0.211865321175199,0.0374334625801253,-0.12539909744205,0.0342383776443736,-0.0148619304498752,0.0311594553907975,0.00814604933234513
"mean_bmi",0.0549585294631519,1,0.10129860550558,-0.0838608654731119,0.155596773755248,-0.281408533620088,-0.389653351425217,0.148886788348603,0.156921219772166,-0.226634995005591,0.0908639663524104,-0.00920575758322338,-0.365123172621993,0.102405926087392,-0.254533617197279
"smoke_rate",-0.0432786441661757,0.10129860550558,1,-0.333763790091714,-0.107366757651022,-0.183981342221368,-0.274054785374177,-0.0944090777755892,0.00179713329049187,-0.17296565057847,0.209136721943928,-0.0536494442553815,-0.202906815987005,0.0232491392020273,-0.164528926893216
"hispanic",0.134245075721653,-0.0838608654731119,-0.333763790091714,1,-0.0549186297160273,-0.117279995534053,0.0864719415219203,0.317943326729506,0.319874990804228,0.256717565716686,-0.371435049942954,-0.0502517800925703,0.228358448484412,-0.0426828283041486,0.173841398313721
"pct_blk",0.128941481841064,0.155596773755248,-0.107366757651022,-0.0549186297160273,1,-0.313346113122612,-0.183498559166748,0.420653725521985,0.301655536959353,0.125932112094546,-0.359185269449018,0.16753950704847,0.136256822290349,-0.0885562414133609,0.0604709465436222
"medhouseholdincome",-0.166705230622019,-0.281408533620088,-0.183981342221368,-0.117279995534053,-0.313346113122612,1,0.716601607863164,-0.527384359738302,-0.590952650373776,0.00177756985734808,0.397387594532124,-0.130738869617179,0.169935045726213,-0.0711463776220097,0.102362223260823
"medianhousevalue",-0.0687712444852351,-0.389653351425217,-0.274054785374177,0.0864719415219203,-0.183498559166748,0.716601607863164,1,-0.180777751153232,-0.384881436197796,0.36437661684532,-0.0927686698104934,-0.1457990115721,0.331748742234915,-0.169110933629915,0.179113174277223
"poverty",0.210868572410474,0.148886788348603,-0.0944090777755892,0.317943326729506,0.420653725521985,-0.527384359738302,-0.180777751153232,1,0.646435012916671,0.292561521755787,-0.51828633726585,0.0895386927153587,0.0611025655443459,-0.0809832290125851,-0.00118043784198577
"education",0.211865321175199,0.156921219772166,0.00179713329049187,0.319874990804228,0.301655536959353,-0.590952650373776,-0.384881436197796,0.646435012916671,1,0.14092373614173,-0.268222639727577,0.328132128329868,0.0635588780290363,-0.0248382931410777,0.0395002076934841
"popdensity",0.0374334625801253,-0.226634995005591,-0.17296565057847,0.256717565716686,0.125932112094546,0.00177756985734808,0.36437661684532,0.292561521755787,0.14092373614173,1,-0.510899877781827,0.0916128004487658,0.47568556404515,-0.294061979594555,0.221460671472611
"pct_owner_occ",-0.12539909744205,0.0908639663524104,0.209136721943928,-0.371435049942954,-0.359185269449018,0.397387594532124,-0.0927686698104934,-0.51828633726585,-0.268222639727577,-0.510899877781827,1,-0.0979237423057516,-0.352120127952747,0.169037087004905,-0.19728256449929
"pm25",0.0342383776443736,-0.00920575758322338,-0.0536494442553815,-0.0502517800925703,0.16753950704847,-0.130738869617179,-0.1457990115721,0.0895386927153587,0.328132128329868,0.0916128004487658,-0.0979237423057516,1,0.392255148015627,-0.0125291076118907,0.340289706980241
"no2",-0.0148619304498752,-0.365123172621993,-0.202906815987005,0.228358448484412,0.136256822290349,0.169935045726213,0.331748742234915,0.0611025655443459,0.0635588780290363,0.47568556404515,-0.352120127952747,0.392255148015627,1,-0.214149351201146,0.742589763890513
"ozone",0.0311594553907975,0.102405926087392,0.0232491392020273,-0.0426828283041486,-0.0885562414133609,-0.0711463776220097,-0.169110933629915,-0.0809832290125851,-0.0248382931410777,-0.294061979594555,0.169037087004905,-0.0125291076118907,-0.214149351201146,1,0.495183937223518
"ox",0.00814604933234513,-0.254533617197279,-0.164528926893216,0.173841398313721,0.0604709465436222,0.102362223260823,0.179113174277223,-0.00118043784198577,0.0395002076934841,0.221460671472611,-0.19728256449929,0.340289706980241,0.742589763890513,0.495183937223518,1
