rn,coef,exp(coef),se(coef),robust se,z,Pr(>|z|)
pm25,0.0134224539776088,1.0135129395057,0.000297810361532462,0.000295836642825231,45.3711678493402,0
no2,0.00589001762678864,1.0059073978872,8.8103125863818e-05,8.74596470435109e-05,67.3455453560015,0
ozone_summer,-0.000145367649428142,0.999854642915937,0.000134174153734056,0.000133363410521823,-1.09001148710391,0.275708084008862
mean_bmi,0.0216736170467437,1.02191019596688,0.000687875933226087,0.000681861619402034,31.7859466349647,1.01237684079225e-221
smoke_rate,0.199104461790841,1.22030943495089,0.00884725609794831,0.00878391069763915,22.6669496815757,9.49495376901351e-114
hispanic,-0.0159540279995397,0.984172563396851,0.00462872817957863,0.00458324150892531,-3.48094857503608,0.00049964140955958
pct_blk,0.0772248606220164,1.08028496263245,0.00376920374442877,0.00371270811960061,20.8001432200719,4.31518657449566e-96
medhouseholdincome,3.78991504195535e-07,1.00000037899158,5.46390221863051e-08,5.435382758784e-08,6.97267370146206,3.10973331263551e-12
medianhousevalue,1.04862275657589e-07,1.00000010486228,7.4019384033818e-09,7.34407366969925e-09,14.2784890748356,2.97992290849679e-46
poverty,-0.0322189695974711,0.968294531799901,0.0121151175308516,0.012036513997688,-2.67676917117861,0.00743358285742045
education,0.350670508341371,1.42001936428608,0.00638074067193565,0.0063279701179848,55.4159551646311,0
popdensity,-3.3654541227685e-07,0.999999663454644,7.58465094844801e-08,7.65059993751624e-08,-4.39894145590508,1.08780163811313e-05
pct_owner_occ,0.0658690311142409,1.06808682186427,0.00528513428804906,0.00525124100448274,12.5435170577796,4.31414961497663e-36
summer_tmmx,-0.00239063598519695,0.997612219309234,0.000361086326195577,0.000359708017617666,-6.64604587084282,3.01071465358152e-11
winter_tmmx,0.010771820327789,1.01083004525941,0.000185808088225697,0.000185426941748392,58.0919915208732,0
summer_rmax,-5.99009910121557e-05,0.999940100803016,0.000108429961978769,0.000108410431581514,-0.55253899590941,0.580579124723093
winter_rmax,0.000216102572171072,1.00021612592401,0.000103753090916034,0.000102664575140741,2.10493806529487,0.0352966996611785
as.factor(year)2002,-0.0254569177630048,0.974864377399187,0.00300673846275884,0.00297644399836869,-8.55279581169914,1.20142321170877e-17
as.factor(year)2003,0.00791352368314396,1.00794491837125,0.00294074092809609,0.00291036354278381,2.71908425418721,0.00654629309923193
as.factor(year)2004,-0.00469007799431494,0.995320903247147,0.00303237223232031,0.00299661414643945,-1.5651257603144,0.117553424489783
as.factor(year)2005,-0.00765634390733892,0.992372891234661,0.00297731118410989,0.00294241305289652,-2.60206292240377,0.00926648488690495
as.factor(year)2006,-0.01683299161244,0.983307891588008,0.00314760244858984,0.00311005070670515,-5.41244924918706,6.21684778690396e-08
as.factor(year)2007,-0.0168746689730868,0.983266910764376,0.00330541735320591,0.0032686186950082,-5.16263001213865,2.43504136672088e-07
as.factor(year)2008,-0.0333498977940658,0.967200079201582,0.00329178940645048,0.00325987506933026,-10.230422051394,1.44886560064229e-24
as.factor(year)2009,-0.0385188124498345,0.962213602974413,0.00343532164201827,0.00339916613562253,-11.331841667333,9.12653053841545e-30
as.factor(year)2010,0.0113760163601281,1.01144096930248,0.0033951358009331,0.00336184573268219,3.38386031504542,0.00071474356166505
as.factor(year)2011,-0.014067726869739,0.98603076122446,0.00342360785235474,0.00339530916603512,-4.1432830360384,3.42368970575935e-05
as.factor(year)2012,-0.060179096775159,0.94159588169628,0.00347892760565802,0.00344521560146336,-17.4674399911569,2.53622159471704e-68
as.factor(year)2013,-0.0809585178271121,0.922231946836206,0.00354469732984883,0.00351822417984788,-23.011187942723,3.60174713465462e-117
as.factor(year)2014,-0.0684276052068473,0.933861064334982,0.00360601030026641,0.00358223142189245,-19.1019499155356,2.43231482594879e-81
as.factor(year)2015,-0.0365299194117451,0.964129247284864,0.00358760902117251,0.00356648746366167,-10.2425481048068,1.27824718184418e-24
as.factor(year)2016,-0.121200921104443,0.885855954554224,0.00372901524535274,0.00370686963787556,-32.6962998283112,1.7628186363291e-234
as.factor(region)NORTHEAST,0.060574653566508,1.06244691006087,0.00180283159205539,0.00180547172930928,33.5505965466887,8.82440551155999e-247
as.factor(region)SOUTH,0.0231900129489019,1.02346099191356,0.00210503456564709,0.00209430561249931,11.0728886990029,1.69836067389781e-28
as.factor(region)WEST,-0.138282581925461,0.870852569776666,0.00337874335379647,0.00337680686988063,-40.9506931411655,0
